match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder,is_wicket
1,1,Gujarat Titans,Kolkata Knight Riders,1,1,Shubman Gill,David Miller,Sunil Narine,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,1,2,David Miller,Shubman Gill,Sunil Narine,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,1,3,Shubman Gill,David Miller,Sunil Narine,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,1,4,David Miller,Shubman Gill,Sunil Narine,0,0,0,0,0,0,6,0,6,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,1,5,David Miller,Shubman Gill,Sunil Narine,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,1,6,Shubman Gill,David Miller,Sunil Narine,0,0,0,0,0,0,2,0,2,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,2,1,David Miller,Shubman Gill,Varun Chakravarthy,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,2,2,Shubman Gill,David Miller,Varun Chakravarthy,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,2,3,David Miller,Shubman Gill,Varun Chakravarthy,0,0,0,0,0,0,2,0,2,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,2,4,David Miller,Shubman Gill,Varun Chakravarthy,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,2,5,David Miller,Shubman Gill,Varun Chakravarthy,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,2,6,David Miller,Shubman Gill,Varun Chakravarthy,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,3,1,Shubman Gill,David Miller,Mitchell Starc,0,0,0,0,1,0,2,1,3,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,3,2,Shubman Gill,David Miller,Mitchell Starc,0,0,0,0,0,0,0,0,0,Shubman Gill,caught,Harshit Rana,1
1,1,Gujarat Titans,Kolkata Knight Riders,3,3,Sai Sudharsan,David Miller,Mitchell Starc,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,3,4,Sai Sudharsan,David Miller,Mitchell Starc,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,3,5,David Miller,Sai Sudharsan,Mitchell Starc,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,3,6,David Miller,Sai Sudharsan,Mitchell Starc,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,4,1,David Miller,Sai Sudharsan,Harshit Rana,0,0,0,0,0,0,6,0,6,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,4,2,David Miller,Sai Sudharsan,Harshit Rana,0,1,0,0,0,0,0,1,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,4,3,David Miller,Sai Sudharsan,Harshit Rana,0,0,0,0,0,0,6,0,6,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,4,4,David Miller,Sai Sudharsan,Harshit Rana,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,4,5,David Miller,Sai Sudharsan,Harshit Rana,0,0,0,0,0,0,4,0,4,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,4,6,David Miller,Sai Sudharsan,Harshit Rana,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,5,1,Sai Sudharsan,David Miller,Andre Russell,0,0,0,0,0,0,6,0,6,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,5,2,Sai Sudharsan,David Miller,Andre Russell,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,5,3,Sai Sudharsan,David Miller,Andre Russell,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,5,4,David Miller,Sai Sudharsan,Andre Russell,0,0,0,0,0,0,6,0,6,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,5,5,David Miller,Sai Sudharsan,Andre Russell,0,0,0,0,0,0,4,0,4,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,5,6,David Miller,Sai Sudharsan,Andre Russell,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,6,1,David Miller,Sai Sudharsan,Sunil Narine,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,6,2,Sai Sudharsan,David Miller,Sunil Narine,0,0,0,0,0,0,6,0,6,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,6,3,Sai Sudharsan,David Miller,Sunil Narine,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,6,4,David Miller,Sai Sudharsan,Sunil Narine,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,6,5,David Miller,Sai Sudharsan,Sunil Narine,0,0,0,0,0,0,0,0,0,David Miller,stumped,Sunil Narine,1
1,1,Gujarat Titans,Kolkata Knight Riders,6,6,Matthew Wade,Sai Sudharsan,Sunil Narine,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,7,1,Matthew Wade,Sai Sudharsan,Varun Chakravarthy,0,0,0,0,0,0,6,0,6,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,7,2,Matthew Wade,Sai Sudharsan,Varun Chakravarthy,0,1,0,0,0,0,0,1,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,7,3,Matthew Wade,Sai Sudharsan,Varun Chakravarthy,0,0,0,0,0,0,2,0,2,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,7,4,Matthew Wade,Sai Sudharsan,Varun Chakravarthy,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,7,5,Sai Sudharsan,Matthew Wade,Varun Chakravarthy,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,7,6,Sai Sudharsan,Matthew Wade,Varun Chakravarthy,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,8,1,Matthew Wade,Sai Sudharsan,Mitchell Starc,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,8,2,Sai Sudharsan,Matthew Wade,Mitchell Starc,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,8,3,Matthew Wade,Sai Sudharsan,Mitchell Starc,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,8,4,Sai Sudharsan,Matthew Wade,Mitchell Starc,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,8,5,Matthew Wade,Sai Sudharsan,Mitchell Starc,0,0,0,0,0,0,4,0,4,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,8,6,Matthew Wade,Sai Sudharsan,Mitchell Starc,0,0,0,0,0,0,1,0,1,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,9,1,Matthew Wade,Sai Sudharsan,Harshit Rana,0,0,0,0,0,0,0,0,0,Matthew Wade,run out,Sunil Narine,1
1,1,Gujarat Titans,Kolkata Knight Riders,9,2,Rahul Tewatia,Sai Sudharsan,Harshit Rana,0,0,0,0,0,0,0,0,0,,,,0
1,1,Gujarat Titans,Kolkata Knight Riders,9,3,Rahul Tewatia,Sai Sudharsan,Harshit Rana,0,0,0,0,0,0,0,0,0,,,,0
