match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
1,2022,Ahmedabad,2018-04-12,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,wickets,0,Kolkata Knight Riders,0,6,Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
2,2024,Delhi,2018-04-23,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,runs,0,Sunrisers Hyderabad,14,0,Abhishek Sharma,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
3,2023,Kolkata,2018-05-09,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,13,0,Tilak Varma,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
4,2023,Chennai,2018-05-23,Rajasthan Royals,Punjab Kings,Punjab Kings,field,runs,0,Rajasthan Royals,20,0,Jos Buttler,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
5,2020,Lucknow,2018-06-06,Mumbai Indians,Punjab Kings,Punjab Kings,bat,wickets,0,Mumbai Indians,0,5,Jitesh Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
6,2018,Jaipur,2018-06-17,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,bat,wickets,0,Lucknow Super Giants,0,7,Marcus Stoinis,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
7,2019,Mumbai,2018-07-01,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,3,0,KL Rahul,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
8,2020,Mumbai,2018-07-16,Gujarat Titans,Rajasthan Royals,Gujarat Titans,bat,wickets,0,Rajasthan Royals,0,4,Matthew Wade,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
9,2023,Delhi,2018-07-30,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,runs,0,Rajasthan Royals,48,0,Jos Buttler,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
10,2024,Delhi,2018-08-12,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,0,Rajasthan Royals,63,0,Shreyas Iyer,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
11,2020,Mohali,2018-08-27,Punjab Kings,Gujarat Titans,Gujarat Titans,bat,runs,0,Gujarat Titans,47,0,David Miller,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
12,2019,Jaipur,2018-09-09,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,runs,0,Royal Challengers Bengaluru,10,0,Rahul Tripathi,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
13,2019,Lucknow,2018-09-26,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,wickets,0,Punjab Kings,0,3,Shimron Hetmyer,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
14,2021,Lucknow,2018-10-06,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,runs,0,Gujarat Titans,6,0,Ayush Badoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
15,2023,Hyderabad,2018-10-23,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,wickets,0,Delhi Capitals,0,4,Tailender 5,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
16,2024,Kolkata,2018-11-05,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,2,Rinku Singh,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
17,2021,Chennai,2018-11-19,Mumbai Indians,Punjab Kings,Mumbai Indians,field,wickets,0,Mumbai Indians,0,6,Rohit Sharma,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
18,2018,Lucknow,2018-12-03,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,field,runs,0,Lucknow Super Giants,19,0,Marcus Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
19,2019,Hyderabad,2018-12-17,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,tie,0,Delhi Capitals,0,0,Venkatesh Iyer,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
20,2020,Chennai,2018-12-30,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,wickets,0,Delhi Capitals,0,8,Rishabh Pant,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
21,2021,Kolkata,2019-01-12,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Chennai Super Kings,0,2,David Miller,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
22,2021,Jaipur,2019-01-27,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,0,Chennai Super Kings,22,0,MS Dhoni,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
23,2021,Delhi,2019-02-14,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,runs,0,Gujarat Titans,34,0,David Miller,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
24,2019,Bengaluru,2019-02-24,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,wickets,0,Punjab Kings,0,3,Jonny Bairstow,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
25,2019,Hyderabad,2019-03-13,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Sunrisers Hyderabad,0,2,Quinton de Kock,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
26,2022,Chennai,2019-03-27,Gujarat Titans,Rajasthan Royals,Gujarat Titans,bat,runs,0,Gujarat Titans,38,0,Tailender 6,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
27,2023,Chennai,2019-04-11,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,wickets,0,Punjab Kings,0,5,Suryakumar Yadav,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
28,2021,Lucknow,2019-04-23,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,wickets,0,Delhi Capitals,0,6,Rishabh Pant,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
29,2020,Mohali,2019-05-06,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,78,0,Sanju Samson,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
30,2023,Jaipur,2019-05-21,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,9,KL Rahul,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
31,2021,Jaipur,2019-06-03,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,runs,0,Chennai Super Kings,12,0,David Miller,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
