Venue,Matches,Batting 1st Wins,Batting 2nd Wins,Batting 1st Win %,Batting 2nd Win %,Avg Innings Score,Highest Score,Top Team,Top Team Wins
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",23,13,10,56.52,43.48,178.9,248,Punjab Kings,5
"Sawai Mansingh Stadium, Jaipur",20,7,13,35.0,65.0,183.7,244,Chennai Super Kings,4
"Rajiv Gandhi International Stadium, Hyderabad",20,6,13,30.0,65.0,183.9,222,Lucknow Super Giants,5
"Eden Gardens, Kolkata",19,8,11,42.11,57.89,180.4,222,Lucknow Super Giants,4
"Wankhede Stadium, Mumbai",18,12,6,66.67,33.33,176.5,213,Mumbai Indians,5
"Punjab Cricket Association IS Bindra Stadium, Mohali",18,9,9,50.0,50.0,176.6,243,Rajasthan Royals,5
"Narendra Modi Stadium, Ahmedabad",16,7,9,43.75,56.25,176.0,244,Delhi Capitals,3
"MA Chidambaram Stadium, Chepauk, Chennai",16,7,9,43.75,56.25,183.2,221,Rajasthan Royals,4
"Arun Jaitley Stadium, Delhi",15,9,5,60.0,33.33,187.0,248,Gujarat Titans,3
"M Chinnaswamy Stadium, Bengaluru",15,10,5,66.67,33.33,188.2,223,Punjab Kings,4
