Batsman,Innings,Runs,Balls,Dismissals,Average,Strike Rate,Highest Score,Fours,Sixes,50s,100s,Boundary %,Dot %
Tailender 5,176,6263,3975,191,32.79,157.56,76*,410,422,20,0,66.61,37.26
Tailender 6,164,4283,2690,139,30.81,159.22,82*,299,283,15,0,67.57,37.58
Tailender 7,144,3422,2135,94,36.4,160.28,96*,220,233,8,0,66.57,36.11
KL Rahul,51,1762,1129,46,38.3,156.07,124*,136,108,6,4,67.65,38.0
Tailender 8,107,1729,1129,57,30.33,153.14,64*,126,104,4,0,65.24,37.29
Nicholas Pooran,51,1550,978,43,36.05,158.49,105,102,103,10,1,66.19,35.79
Quinton de Kock,51,1489,987,46,32.37,150.86,109,113,87,11,1,65.41,37.49
Jos Buttler,38,1315,842,35,37.57,156.18,106*,101,81,12,1,67.68,38.24
Shubman Gill,34,1232,730,34,36.24,168.77,114,92,78,9,1,67.86,33.7
Liam Livingstone,35,1227,736,28,43.82,166.71,116*,70,85,9,2,64.38,30.71
Shimron Hetmyer,38,1223,773,23,53.17,158.21,88*,89,75,10,0,65.9,36.35
MS Dhoni,39,1175,734,37,31.76,160.08,114,82,74,11,1,65.7,35.69
Rishabh Pant,38,1151,718,37,31.11,160.31,101,86,73,5,1,67.94,36.35
Ayush Badoni,45,1138,748,30,37.93,152.14,68,80,68,4,0,63.97,36.9
Mitchell Marsh,38,1102,668,29,38.0,164.97,128*,76,68,8,1,64.61,33.38
Ruturaj Gaikwad,39,1087,702,36,30.19,154.84,101*,70,74,5,1,66.61,38.46
Yashasvi Jaiswal,38,1053,655,34,30.97,160.76,99*,57,81,6,0,67.81,37.25
Shikhar Dhawan,35,1046,645,31,33.74,162.17,123*,70,67,5,1,65.2,36.12
Prithvi Shaw,38,1012,740,35,28.91,136.76,102*,67,61,4,1,62.65,41.35
Jonny Bairstow,35,1004,678,34,29.53,148.08,109*,55,70,4,1,63.75,38.79
David Warner,38,1003,662,37,27.11,151.51,104,69,68,3,1,68.2,39.58
Marcus Stoinis,47,1000,679,40,25.0,147.28,78*,73,55,6,0,62.2,37.11
Abhishek Sharma,32,982,659,27,36.37,149.01,92,64,63,8,0,64.56,36.72
Virat Kohli,28,972,650,28,34.71,149.54,83,65,58,7,0,62.55,37.23
Jitesh Sharma,33,963,593,26,37.04,162.39,84,60,69,7,0,67.91,36.93
Travis Head,32,944,604,30,31.47,156.29,89*,60,65,7,0,66.74,39.4
Sai Sudharsan,34,932,590,27,34.52,157.97,105,66,57,5,2,65.02,34.92
Suryakumar Yadav,32,917,562,29,31.62,163.17,124*,65,61,8,1,68.27,36.12
Tailender 9,73,915,622,30,30.5,147.11,44*,49,68,0,0,66.01,41.0
Rinku Singh,33,914,591,32,28.56,154.65,86,56,66,5,0,67.83,38.41
Rohit Sharma,32,896,562,31,28.9,159.43,112*,52,68,3,2,68.75,38.79
David Miller,34,892,579,32,27.88,154.06,105*,61,60,5,1,67.71,38.17
Sanju Samson,38,876,627,38,23.05,139.71,78,64,46,6,0,60.73,39.71
Sam Curran,29,854,527,21,40.67,162.05,71*,66,54,5,0,68.85,36.05
Devon Conway,38,849,579,34,24.97,146.63,98*,72,46,6,0,66.43,40.07
Venkatesh Iyer,32,832,549,29,28.69,151.55,77,66,48,7,0,66.35,37.52
Matthew Wade,33,831,583,25,33.24,142.54,85*,50,52,7,0,61.61,38.25
Tilak Varma,32,820,557,25,32.8,147.22,78*,50,55,3,0,64.63,40.04
Heinrich Klaasen,32,808,514,31,26.06,157.2,109*,46,60,4,1,67.33,38.91
Riyan Parag,35,794,538,24,33.08,147.58,75*,59,48,3,0,65.99,41.08
Shreyas Iyer,33,794,499,31,25.61,159.12,97*,58,51,5,0,67.76,37.88
Nitish Rana,32,768,509,24,32.0,150.88,55*,51,46,1,0,62.5,35.56
Aiden Markram,32,745,470,27,27.59,158.51,81,49,50,3,0,66.58,36.38
Axar Patel,34,741,481,23,32.22,154.05,92*,58,46,4,0,68.56,41.79
Ajinkya Rahane,36,740,469,28,26.43,157.78,83*,55,47,5,0,67.84,39.23
Glenn Maxwell,28,688,418,26,26.46,164.59,111*,46,45,4,1,65.99,36.6
Faf du Plessis,28,671,448,28,23.96,149.78,75,45,39,5,0,61.7,36.16
Dinesh Karthik,28,658,415,22,29.91,158.55,88*,42,46,3,0,67.48,36.63
Ishan Kishan,32,647,449,30,21.57,144.1,81*,42,40,3,0,63.06,39.42
Shivam Dube,38,634,461,35,18.11,137.53,67,39,36,1,0,58.68,38.18
Rahul Tripathi,30,619,372,24,25.79,166.4,71*,43,40,3,0,66.56,34.14
Hardik Pandya,30,592,395,26,22.77,149.87,61,37,42,1,0,67.57,41.52
Andre Russell,33,561,355,31,18.1,158.03,60*,38,36,2,0,65.6,37.46
Rajat Patidar,28,535,358,25,21.4,149.44,49,40,33,0,0,66.92,39.66
Tailender 10,41,534,311,14,38.14,171.7,43*,40,36,0,0,70.41,35.05
Rahul Tewatia,31,378,273,24,15.75,138.46,44*,21,25,0,0,61.9,40.66
