Bowler,Innings,Overs,Balls,Runs Conceded,Wickets,Economy,Average,Strike Rate,Best Bowling,Dot %,3+ Wickets,4+ Wickets,5+ Wickets
Yuzvendra Chahal,65,251.5,1511,2374,81,9.43,29.31,18.65,5/21,37.92,8,3,1
Ravi Bishnoi,51,197.0,1182,1742,57,8.84,30.56,20.74,3/25,41.54,4,0,0
Krunal Pandya,51,185.0,1110,1809,55,9.78,32.89,20.18,3/14,39.1,6,0,0
Naveen-ul-Haq,51,196.1,1177,1920,50,9.79,38.4,23.54,3/22,37.64,5,0,0
Varun Chakravarthy,33,125.0,750,1260,47,10.08,26.81,15.96,6/42,37.6,7,4,1
Mayank Yadav,51,189.1,1135,1757,46,9.29,38.2,24.67,3/25,39.3,4,0,0
Mohsin Khan,51,194.1,1165,1890,44,9.73,42.95,26.48,4/41,35.11,2,1,0
Anrich Nortje,38,144.3,867,1407,44,9.74,31.98,19.7,4/29,37.14,5,1,0
Ravichandran Ashwin,38,143.2,860,1250,42,8.72,29.76,20.48,3/22,38.14,5,0,0
Arshdeep Singh,35,134.3,807,1266,40,9.41,31.65,20.18,3/23,36.56,4,0,0
Rahul Chahar,35,130.1,781,1296,40,9.96,32.4,19.52,4/16,36.49,2,1,0
Sunil Narine,33,127.3,765,1313,38,10.3,34.55,20.13,4/35,36.6,4,1,0
Ishant Sharma,38,139.5,839,1379,37,9.86,37.27,22.68,3/19,38.5,5,0,0
Andre Russell,33,120.2,722,1249,37,10.38,33.76,19.51,4/19,38.64,2,1,0
Mayank Markande,32,117.2,704,1132,36,9.65,31.44,19.56,3/24,37.07,3,0,0
Kuldeep Yadav,38,148.0,888,1473,36,9.95,40.92,24.67,4/44,37.61,3,1,0
Maheesh Theekshana,39,140.0,840,1320,35,9.43,37.71,24.0,3/24,38.33,3,0,0
Khaleel Ahmed,38,144.3,867,1402,33,9.7,42.48,26.27,4/24,37.49,2,1,0
Mitchell Starc,33,121.5,731,1205,33,9.89,36.52,22.15,3/35,37.07,1,0,0
Kagiso Rabada,35,134.0,804,1206,32,9.0,37.69,25.12,3/43,39.93,1,0,0
Sandeep Sharma,38,143.0,858,1359,32,9.5,42.47,26.81,3/25,38.93,3,0,0
Deepak Chahar,39,149.1,895,1428,32,9.57,44.62,27.97,2/22,37.09,0,0,0
Harshit Rana,33,122.1,733,1180,32,9.66,36.88,22.91,3/20,37.52,1,0,0
Bhuvneshwar Kumar,32,117.4,706,1188,31,10.1,38.32,22.77,3/29,34.28,3,0,0
Axar Patel,38,140.5,845,1358,30,9.64,45.27,28.17,2/13,37.63,0,0,0
Glenn Maxwell,28,97.2,584,975,30,10.02,32.5,19.47,3/30,38.36,1,0,0
Mohammed Shami,34,130.4,784,1185,29,9.07,40.86,27.03,4/16,40.31,3,2,0
Harpreet Brar,35,124.5,749,1241,29,9.94,42.79,25.83,3/27,35.78,1,0,0
Joshua Little,34,120.5,725,1138,28,9.42,40.64,25.89,3/22,34.76,1,0,0
Trent Boult,38,147.1,883,1410,28,9.58,50.36,31.54,3/41,36.81,1,0,0
Wanindu Hasaranga,28,103.5,623,1011,28,9.74,36.11,22.25,4/21,37.24,3,2,0
Matheesha Pathirana,39,144.2,866,1423,28,9.86,50.82,30.93,2/21,36.26,0,0,0
Sam Curran,35,127.2,764,1273,28,10.0,45.46,27.29,5/22,36.26,2,1,1
Ravindra Jadeja,39,150.1,901,1458,27,9.71,54.0,33.37,3/29,37.85,1,0,0
Jasprit Bumrah,32,120.0,720,1262,27,10.52,46.74,26.67,2/32,32.5,0,0,0
Pat Cummins,32,121.5,731,1082,26,8.88,41.62,28.12,5/29,40.63,2,1,1
Shardul Thakur,39,143.1,859,1283,26,8.96,49.35,33.04,3/23,40.16,1,0,0
Rashid Khan,34,131.0,786,1251,26,9.55,48.12,30.23,3/35,35.75,1,0,0
Piyush Chawla,32,121.5,731,1202,26,9.87,46.23,28.12,3/17,37.07,1,0,0
Hardik Pandya,32,114.0,684,1121,25,9.83,44.84,27.36,3/29,37.28,1,0,0
Mohammed Siraj,28,107.1,643,1136,25,10.6,45.44,25.72,3/52,34.68,1,0,0
Gerald Coetzee,32,118.2,710,1026,24,8.67,42.75,29.58,3/21,39.58,1,0,0
Umran Malik,32,116.0,696,1176,24,10.14,49.0,29.0,3/18,36.35,1,0,0
Avesh Khan,38,139.3,837,1255,23,9.0,54.57,36.39,3/26,40.62,1,0,0
Mohit Sharma,34,127.5,767,1255,23,9.82,54.57,33.35,2/17,34.94,0,0,0
Noor Ahmad,34,123.5,743,1230,23,9.93,53.48,32.3,2/18,37.69,0,0,0
Harshal Patel,28,101.0,606,943,22,9.34,42.86,27.55,2/24,38.61,0,0,0
Jason Behrendorff,32,117.4,706,1002,21,8.52,47.71,33.62,3/17,38.95,2,0,0
T Natarajan,32,116.5,701,1176,19,10.07,61.89,36.89,2/21,34.52,0,0,0
