Team,Matches,Wins,Losses,Ties/NR,Win %,Loss %,Average Score,Highest Score,Lowest Score
Rajasthan Royals,38,22,15,1,57.89,39.47,181.6,243,144
Royal Challengers Bengaluru,28,15,13,0,53.57,46.43,185.4,222,122
Delhi Capitals,38,20,17,1,52.63,44.74,179.6,224,80
Punjab Kings,35,18,17,0,51.43,48.57,183.6,248,124
Lucknow Super Giants,51,26,25,0,50.98,49.02,181.0,220,127
Gujarat Titans,34,17,16,1,50.0,47.06,183.8,221,125
Mumbai Indians,32,16,16,0,50.0,50.0,177.3,244,96
Chennai Super Kings,39,18,21,0,46.15,53.85,176.6,224,111
Sunrisers Hyderabad,32,14,18,0,43.75,56.25,180.1,248,110
Kolkata Knight Riders,33,14,18,1,42.42,54.55,184.9,231,141
